Date;Number 1;Number 2;Number 3;Number 4;Number 5;Number 6
08/04/2023;12;20;30;31;32;39
05/04/2023;3;9;10;25;31;34
01/04/2023;15;17;22;24;34;38
29/03/2023;14;18;27;33;41;42
25/03/2023;6;11;20;33;34;43
22/03/2023;13;15;18;32;33;39
18/03/2023;1;8;20;25;32;43
15/03/2023;2;13;20;30;35;39
11/03/2023;2;4;13;21;27;44
08/03/2023;12;20;21;29;30;32
04/03/2023;3;19;23;24;42;44
01/03/2023;4;9;23;25;30;42
25/02/2023;2;8;13;16;24;45
22/02/2023;2;6;16;23;26;35
18/02/2023;5;6;12;25;35;38
15/02/2023;2;3;5;6;9;25
11/02/2023;3;6;14;16;25;43
08/02/2023;2;4;7;32;37;38
04/02/2023;17;23;30;36;41;43
01/02/2023;4;8;11;17;27;35
28/01/2023;1;3;10;18;19;44
25/01/2023;4;8;29;31;35;36
21/01/2023;2;17;24;33;39;42
18/01/2023;3;6;9;28;32;33
14/01/2023;5;10;15;22;28;40
11/01/2023;7;12;23;25;39;45
07/01/2023;3;10;11;16;21;33
04/01/2023;8;11;12;17;28;37
31/12/2022;3;9;29;35;39;44
28/12/2022;7;11;25;27;36;41
24/12/2022;14;19;25;27;32;42
21/12/2022;1;7;12;16;17;18
17/12/2022;3;21;34;38;40;43
14/12/2022;3;4;6;14;20;30
10/12/2022;7;16;18;29;33;43
07/12/2022;1;3;33;36;41;45
03/12/2022;3;13;16;17;34;44
30/11/2022;8;15;19;21;34;38
26/11/2022;7;9;14;22;28;38
23/11/2022;2;6;13;22;25;43
19/11/2022;12;15;28;29;36;41
16/11/2022;9;12;14;16;37;39
12/11/2022;2;3;6;18;44;45
09/11/2022;16;21;22;33;42;43
05/11/2022;3;13;22;25;35;38
02/11/2022;7;22;30;37;41;44
29/10/2022;4;15;19;24;37;39
26/10/2022;17;19;22;28;35;43
22/10/2022;2;6;17;18;27;33
19/10/2022;4;10;12;20;22;33
15/10/2022;1;12;21;23;32;45
12/10/2022;7;13;14;16;32;44
08/10/2022;8;13;14;23;26;33
05/10/2022;1;2;3;9;19;45
01/10/2022;2;6;8;20;22;38
28/09/2022;7;11;27;31;33;45
24/09/2022;3;19;22;29;39;40
